year,exported_at,FAC_NO,FAC_NAME,FAC_STR_ADDR,FAC_CITY,FAC_ZIP,FAC_PHONE,LICENSE_NO,LICENSE_STATUS,LIC_CAT,HHAH_LICEE_TOC,HHAH_MEDI_CAL_VISITS,HHAH_MEDICARE_VISITS,HOSPICE_PATS_PAID_BY_MEDI_CAL,HOSPICE_PATS_PAID_BY_MEDICARE,HOSPICE_MEDI_CAL_REVENUE,HOSPICE_MEDICARE_REVENUE,HOSPICE_TOT_OPER_REVENUE,HOSPICE_NET_INCOME
2024,2026-01-16T17:15:21Z,406010790,KAISER FOUNDATION HOSPITAL HOME HEALTH -OAKLAND (PARENT),4501 BROADWAY,OAKLAND,94611,510-752-6295,020000349,Open,Home Health Agency,Non-Profit Corporation (including church-related),21,19,,,,,,
2024,2026-01-16T17:15:21Z,406010880,"CAREPLUS HOME HEALTH CARE SERVICES, INC.","6269 SOUTHFRONT RD, STE B",LIVERMORE,94551,9256674916,550004211,Open,Home Health Agency,Investor - Corporation,194,5127,,,,,,
2024,2026-01-16T17:15:21Z,406010931,APOLLO HOME HEALTHCARE,"7901 STONERIDGE DR, STE 505",PLEASANTON,94558,9255878244,550004323,Open,Home Health Agency,Investor - Limited Liability Company,0,15585,,,,,,
2024,2026-01-16T17:15:21Z,406011338,AIC HOME HEALTH SERVICES,"4049 1ST ST, STE 229",LIVERMORE,94551,9252151890,550004316,Open,Home Health Agency,Investor - Corporation,0,4153,,,,,,
2024,2026-01-16T17:15:21Z,406011486,"WE CARE HOSPICE, INC.","2333 MOWRY AVE, SUITE 220",FREMONT,94538,(510) 894-0154,550004445,Open,Hospice,,,,21,31,2400,681865,1016665,496485
2024,2026-01-16T17:15:21Z,406011532,SEASONS HOSPICE & PALLIATIVE CARE OF CA - OAK,"7677 OAKPORT ST, STE 500",OAKLAND,94621,5109051105,550004462,Open,Hospice,,,,0,84,,2666215,2109757,235474
2024,2026-01-16T17:15:21Z,406011569,ASPIRE HOME HEALTH,"3524 BREAKWATER AVE, STE A-130",HAYWARD,94545,5103594556,550004594,Open,Home Health Agency,Investor - Corporation,0,9759,,,,,,
2024,2026-01-16T17:15:21Z,406011667,"ONE HEALTH HOSPICE, INC.","2133 LAS POSITAS CT, SUITE J",LIVERMORE,94551,925-292-4448,550004657,Open,Hospice,,,,,,,,,
2024,2026-01-16T17:15:21Z,406011723,ONE HEALTH HOME CARE,"2133 LAS POSITAS CT, STE L",LIVERMORE,94551,925-292-4448,550004731,Open,Home Health Agency,Investor - Corporation,,8223,,,,,,
2024,2026-01-16T17:15:21Z,406011746,GIMAG HOSPICE & PALLIATIVE CARE,"4049 1ST ST, STE 135",LIVERMORE,94551,9252737700,550004765,Open,Hospice,,,,0,9,0,523288,115248,-213892
2024,2026-01-16T17:15:21Z,406011933,"MISSION HOSPICE SERVICES OF EAST BAY, LLC","5976 W LAS POSITAS BLVD, STE 118A",PLEASANTON,94588,9252759300,550004946,Open,Hospice,,,,,,,,,
2024,2026-01-16T17:15:21Z,406011967,BAYHEALTH DUBLIN LLC,"7027 DUBLIN BLVD, STE 100",DUBLIN,94568,9253446505,550005035,Open,Home Health Agency,Investor - Limited Liability Company,,987,,,,,,
2024,2026-01-16T17:15:21Z,406012037,"RO HEALTH, INC.",1867 WHIPPLE RD,HAYWARD,94544,9252902298,550003581,Open,Home Health Agency,Investor - Limited Liability Company,6867,,,,,,,
2024,2026-01-16T17:15:21Z,406012054,SKY HEALTHCARE HOME HEALTH SERVICES,"4695 CHABOT DRIVE, STE 237",PLEASANTON,94588,9169566185,550005104,Open,Home Health Agency,Investor - Limited Liability Company,,13738,,,,,,
2024,2026-01-16T17:15:21Z,406012087,VITAL HOME HEALTH CARE,"1090 LA PLAYA DR, STE 288",HAYWARD,94545,6507794700,550001672,Open,Home Health Agency,Investor - Partnership,38,10316,,,,,,
2024,2026-01-16T17:15:21Z,406012188,NEOGEN CARE HOSPICE,"24301 SOUTHLAND DR, STE B7",HAYWARD,94545,510-440-1383,550005196,Open,Hospice,,,,,6,,41647,41647,18647
2024,2026-01-16T17:15:21Z,406012270,SUTTER VISITING NURSE ASSOCIATION AND HOSPICE - ALAMEDA - PARENT,"1025 ATLANTIC AVE, STE 100",ALAMEDA,94501,510-263-0900,550001671,Open,Hospice,,,,158,826,2269951,16705087,19167878,2453485
2024,2026-01-16T17:15:21Z,406012470,AJ HOME HEALTH LLC,"3524 BREAKWATER AVE, SUITE C",HAYWARD,94545,5109635472,550005365,Open,Home Health Agency,Investor - Limited Liability Company,,2683,,,,,,
2024,2026-01-16T17:15:21Z,406012601,"ARDENT HOSPICE SERVICES, INC.","24301 SOUTHLAND DR, SUITE B10",HAYWARD,94545,510-940-8154,550005386,Open,Hospice,,,,20,117,335005,3513301,3471662,331677
2024,2026-01-16T17:15:21Z,406012672,COMPASSIONATE HOME HEALTH,"5820 STONERIDGE MALL RD, SUITE 310A",PLEASANTON,94588,925-425-7104,550005611,Open,Home Health Agency,Investor - Corporation,6,159,,,,,,
2024,2026-01-16T17:15:21Z,406012676,"ARDENT HOME HEALTH CARE, INC.","1933 DAVIS ST, SUITE 320",SAN LEANDRO,94577,5102895265,550005630,Open,Home Health Agency,Investor - Corporation,,6984,,,,,,
2024,2026-01-16T17:15:21Z,406012737,MELODIA HOSPICE,"42840 CHRISTY ST, SUITE 102",FREMONT,94538,8886356347,550005514,Open,Hospice,,,,1,153,230,4007019,5878319,4748569
2024,2026-01-16T17:15:21Z,406012768,ATTAIE HOME HEALTH CARE,"4133 MOHR AVE, SUITE B",PLEASANTON,94566,9254259499,550005580,Open,Home Health Agency,Investor - Corporation,,3834,,,,,,
2024,2026-01-16T17:15:21Z,406012770,HOME HEALTH 101 INC.,"3357 CAHUENGA BLVD W, SUITE 26",LOS ANGELES,90068,323-613-8088,550005587,Open,Home Health Agency,Investor - Corporation,,1221,,,,,,
2024,2026-01-16T17:15:21Z,406012886,"AMORE HOSPICE, INC.","2648 INTERNATIONAL BLVD, STE 301",OAKLAND,94601,5104797668,550005724,Open,Hospice,,,,0,84,2422,1691306,1217826,166415
2024,2026-01-16T17:15:21Z,406012897,UNIVERSAL HOSPICE CARE LLC,"44240 FREMONT BLVD, STE A",FREMONT,94538,6503895279,550005728,Open,Hospice,,,,,92,,1276867,1276867,1276867
2024,2026-01-16T17:15:21Z,406013005,ALL HOPE HOSPICE LLC,"27001 CALAROGA AVE, STE 3B",HAYWARD,94545,5104601102,550005897,Open,Hospice,,,,,37,,668113,651284,41711
2024,2026-01-16T17:15:21Z,406013011,BRISTOL HOSPICE - EAST BAY,"5820 STONERIDGE MALL RD, STE 209",PLEASANTON,94588,510-734-4404,550003382,Open,Hospice,,,,4,286,-285,8040998,8270903,4529019
2024,2026-01-16T17:15:21Z,406013367,KAISER FOUNDATION HOSPITAL HOME HEALTH  - HAYWARD,30116 EIGENBRODT WAY,UNION CITY,94587,5106756620,020000351,Open,Home Health Agency,Non-Profit Corporation (including church-related),0,41,,,,,,
2024,2026-01-16T17:15:21Z,406013682,"ACCENTCARE HOME HEALTH OF CAL, INC.- PARENT","3170 CROW CANYON PL, STE 270",SAN RAMON,94583,8007341604,020000285,Open,Home Health Agency,Investor - Corporation,0,11396,,,,,,
2024,2026-01-16T17:15:21Z,406013767,UNIVERSAL HOME HEALTH LLC,"44240 FREMONT BLVD, SUITE B",FREMONT,94538,(650) 389-5279,550006260,Open,Home Health Agency,Investor - Corporation,,26,,,,,,
2024,2026-01-16T17:15:21Z,406013909,"SEHAJ HOSPICE CARE, INC.","44790 S GRIMMER BLVD, SUITE 207",FREMONT,94538,51057719982,550006610,Open,Hospice,,,,0,31,0,521417,532241,99034
2024,2026-01-16T17:15:21Z,406013948,"COMPASSIONATE HOME HEALTH & HOSPICE, INC.","5820 STONERIDGE MALL RD, STE 310B",PLEASANTON,94588,925-425-7104,550006203,Open,Hospice,,,,0,4,0,31741,31741,4167
2024,2026-01-16T17:15:21Z,406013997,"OAKLAND HOSPICE, INC.","1901 HARRISON ST., STE 1100",OAKLAND,94612,9167790811,550006415,Open,Hospice,,,,4,510,50185,10514851,10304252,1288459
2024,2026-01-16T17:15:21Z,406014024,"SUTTER VISITING NURSE ASSOC, AND HOSPICE -BRANCH","1025 ATLANTIC AVE, STE 100B",ALAMEDA,94501,5106185200,020000158,Open,Home Health Agency,Non-Profit Corporation (including church-related),5064,19810,,,,,,
2024,2026-01-16T17:15:21Z,406014028,CORAM CVS / SPECIALTY INFUSION SERVICES,3160 CORPORATE PLACE,HAYWARD,94545,805-279-9295,020000338,Closed,Home Health Agency,Investor - Corporation,0,0,,,,,,
2024,2026-01-16T17:15:21Z,406014063,"COMMUNITY CARE SERVICES, INC","8105 EDGEWATER DR, STE 200",OAKLAND,94621,5109239790,020000416,Open,Home Health Agency,Investor - Corporation,,,,,,,,
2024,2026-01-16T17:15:21Z,406014070,PROFESSIONAL HOME CARE ASSOCIATES - FREMONT - PARENT,2296 COUNTRY DR,FREMONT,94536,510-608-3700,020000427,Open,Home Health Agency,Investor - Individual,0,4339,,,,,,
2024,2026-01-16T17:15:21Z,406014094,NURSING RESOURCES,"31080 UNION CITY BLVD., STE 203",UNION CITY,94587,5107457878,020000656,Open,Home Health Agency,Investor - Limited Liability Company,9687,953,,,,,,
2024,2026-01-16T17:15:21Z,406014096,CENTER FOR ELDERS INDEPENDENCE/HHA - PARENT,1955 SAN PABLO AVE,OAKLAND,94612,5104331150,020000478,Open,Home Health Agency,Non-Profit Corporation (including church-related),,,,,,,,
2024,2026-01-16T17:15:21Z,406014110,HOPE HOSPICE,"6377 CLARK AVE, STE 100",DUBLIN,94568,925-829-8770,070000569,Open,Hospice,,,,10,646,192553,14903922,11328407,-1742798
2024,2026-01-16T17:15:21Z,406014119,KAISER FOUNDATION HOSPITAL HOSPICE - HAYWARD,30116 EIGENBRODT WAY,UNION CITY,94587,5106755777,070000574,Open,Hospice,,,,50,276,,,,
2024,2026-01-16T17:15:21Z,406014120,KAISER FOUNDATION HOSPITAL HOSPICE-OAKLAND,"4501 BROADWAY, 1ST FLOOR",OAKLAND,94611,510-752-6390,070000573,Open,Hospice,,,,23,263,,,,
2024,2026-01-16T17:15:21Z,406014154,"CRESCENT HEALTHCARE, INC.","25901 INDUSTRIAL BLVD, BUILDING E",HAYWARD,94545,510-264-5454,020000580,Open,Home Health Agency,Investor - Corporation,648,128,,,,,,
2024,2026-01-16T17:15:21Z,406014189,CEI BERKELEY  - BRANCH,1497 ALCATRAZ AVE,BERKELEY,94702,5104331150,020000478,Open,Home Health Agency,Non-Profit Corporation (including church-related),,,,,,,,
2024,2026-01-16T17:15:21Z,406014202,"ASIAN NETWORK HOSPICE, INC.","212 9TH STREET, SUITE 204",OAKLAND,94607,5102681118,070000628,Open,Hospice,,,,,409,,8265964,9176049,57234
2024,2026-01-16T17:15:21Z,406014203,PROFESSIONAL HOME CARE ASSOCIATES - LIVERMORE - BRANCH,"1111 STANLEY BLVD, STE D",LIVERMORE,94550,925-243-1385,020000427,Open,Home Health Agency,Investor - Individual,0,2899,,,,,,
2024,2026-01-16T17:15:21Z,406014204,"ASIAN NETWORK PACIFIC HOME CARE, INC.","212 9TH ST, STE 205",OAKLAND,94607,5102681118,020000529,Open,Home Health Agency,Investor - Corporation,,11567,,,,,,
2024,2026-01-16T17:15:21Z,406014208,AMEDISYS HOME HEALTH CARE - HAYWARD - PARENT,"24301 SOUTHLAND DR, STE 411",HAYWARD,94545,5107320730,020000376,Open,Home Health Agency,Investor - Limited Liability Company,40,8219,,,,,,
2024,2026-01-16T17:15:21Z,406014212,"WARM SPRINGS HOME HEALTH, INC.",54 WHITNEY PLACE,FREMONT,94539,5104906988,550000226,Open,Home Health Agency,Investor - Corporation,0,8630,,,,,,
2024,2026-01-16T17:15:21Z,406014217,"MAXIM HEALTHCARE SERVICES, INC.","2000 POWELL ST, STE 900",EMERYVILLE,94608,510-982-3773,020000462,Open,Home Health Agency,Investor - Corporation,6564,76,,,,,,
2024,2026-01-16T17:15:21Z,406014223,VISION HOME HEALTH CARE,"39899 BALENTINE DR, STE 115",NEWARK,94560,9254502050,550000404,Closed,Home Health Agency,Investor - Corporation,0,1159,,,,,,
2024,2026-01-16T17:15:21Z,406014228,ASIAN AMERICAN HOME HEALTH,"1301 MARINA VILLAGE PKWY, STE 103",ALAMEDA,94501,510-835-3268,020000654,Open,Home Health Agency,Investor - Corporation,68,24930,,,,,,
2024,2026-01-16T17:15:21Z,406014235,PATHWAYS HOME HEALTH AND HOSPICE,"333 HEGENBERGER RD, STE 700",OAKLAND,94621,5106324390,070000565,Open,Hospice,,,,,471,,1952551,2705633,-787656
2024,2026-01-16T17:15:21Z,406014242,CENTERS FOR ELDERS INDEPENDENCE-BRANCH,"7200 BANCROFT AVE, STE 188",OAKLAND,94605,5104331150,020000478,Open,Home Health Agency,Non-Profit Corporation (including church-related),,,,,,,,
2024,2026-01-16T17:15:21Z,406014247,LIFEGUARD HOME HEALTH,"6700 KOLL CENTER PKWY, STE 116",PLEASANTON,94566,9252710221,550000895,Open,Home Health Agency,Investor - Corporation,0,8263,,,,,,
2024,2026-01-16T17:15:21Z,406014256,"ANGELS HOSPICE, LLC","19830 LAKE CHABOT RD, STE B",CASTRO VALLEY,94546,5107279000,550001016,Open,Hospice,,,,,74,,1006390,999976,20335
2024,2026-01-16T17:15:21Z,406014259,BRIDGE HOSPICE BAY AREA,46723 FREMONT BLVD,FREMONT,94538,9252157744,550001133,Open,Hospice,,,,3,53,7482,737519,1368568,-1068045
2024,2026-01-16T17:15:21Z,406014260,"AMERICAN HOME HEALTH CARE, LLC","6850 REGIONAL ST, STE 110",DUBLIN,94568,5105740930,550001127,Open,Home Health Agency,Investor - Limited Liability Company,112,12487,,,,,,
2024,2026-01-16T17:15:21Z,406014268,BRIGHTSTAR CARE,"7080 DONLON WAY, STE 220",DUBLIN,94568,(415) 332-3300,550001177,Open,Home Health Agency,,,,,,,,,
2024,2026-01-16T17:15:21Z,406014271,MERIDIAN HOME HEALTH,"3900 NEWPARK MALL, STE 209",NEWARK,94560,5107939255,550001239,Open,Home Health Agency,Investor - Corporation,20,12075,,,,,,
2024,2026-01-16T17:15:21Z,406014273,ALERT HOME HEALTH CARE,"11700 DUBLIN BLVD, STE 200",DUBLIN,94568,9253615137,550001305,Open,Home Health Agency,Investor - Corporation,0,5665,,,,,,
2024,2026-01-16T17:15:21Z,406014281,AVEANNA HEALTHCARE,"333 Hegenberger Rd, STE 201",OAKLAND,94621,5105682201,550001472,Open,Home Health Agency,Investor - Limited Liability Company,11761,0,,,,,,
2024,2026-01-16T17:15:21Z,406014287,"GOLDEN PACIFIC HOME HEALTH, INC","1151 HARBOR  BAY PKWY, STE 122",ALAMEDA,94502,5103732799,550001821,Open,Home Health Agency,Non-Profit Corporation (including church-related),,5223,,,,,,
2024,2026-01-16T17:15:21Z,406014288,ST. JUDE HOME HEALTH AGENCY,"4725 FIRST ST, STE 274",PLEASANTON,94566,9254743439,550001928,Open,Home Health Agency,Investor - Corporation,0,7128,,,,,,
2024,2026-01-16T17:15:21Z,406014293,LIFE SPRINGS HOSPICE CARE,60 WHITNEY PL,FREMONT,94539,510 623-1561,550001877,Open,Hospice,,,,15,269,95729,5234636,6048665,692657
2024,2026-01-16T17:15:21Z,406014302,"BEST HOME HEALTH PROVIDERS, INC.",26236 INDUSTRIAL BLVD,HAYWARD,94545,5107831274,550002125,Open,Home Health Agency,Investor - Corporation,0,62029,,,,,,
2024,2026-01-16T17:15:21Z,406014303,HEELAS HEALTH CARE SERVICES INC.,"2777 ALVARADO ST, STE G",SAN LEANDRO,94577,5102442401,550002123,Open,Home Health Agency,Investor - Corporation,0,1290,,,,,,
2024,2026-01-16T17:15:21Z,406014304,CARE IN TOUCH HOME HEALTH AGENCY,"3340 WALNUT AVE, STE 111",FREMONT,94538,5106518500,550002120,Open,Home Health Agency,Investor - Corporation,,10328,,,,,,
2024,2026-01-16T17:15:21Z,406014310,CROSSROADS HOME HEALTH & HOSPICE - BRANCH,"7700 EDGEWATER DR, STE 225",OAKLAND,94621,510-638-8033,220000345,Open,Home Health Agency,Investor - Limited Liability Company,602,6582,,,,,,
2024,2026-01-16T17:15:21Z,406014320,HEALTHFLEX HOME HEALTH SERVICES,"7677 OAKPORT ST, STE 930",OAKLAND,94621,5105531900,550002283,Open,Home Health Agency,Investor - Corporation,636,50516,,,,,,
2024,2026-01-16T17:15:21Z,406014322,GUARDIAN HOME HEALTH CARE & HOSPICE INC.,"6601 OWENS DR, STE 135 OFFICE A",PLEASANTON,94588,5107428700,550002217,Open,Home Health Agency,Investor - Corporation,0,44,,,,,,
2024,2026-01-16T17:15:21Z,406014323,"PRIMELIVING HOME HEALTH, INC.","48521 WARM SPRINGS BLVD, STE 307A",FREMONT,94539,(510) 770-9810,550002401,Open,Home Health Agency,Investor - Corporation,0,145,,,,,,
2024,2026-01-16T17:15:21Z,406014334,"SENIOR PRO SERVICES,  LLC","595 ESTUDILLO AVE, STE A",SAN LEANDRO,94577,510-357-2222,550002575,Open,Home Health Agency,Investor - Limited Liability Company,,5,,,,,,
2024,2026-01-16T17:15:21Z,406014341,"EMMANUEL HEALTHCARE, INC.","4510 PERALTA BLVD, STE 25",FREMONT,94536,5108944139,550003004,Open,Home Health Agency,Investor - Corporation,0,2671,,,,,,
2024,2026-01-16T17:15:21Z,406014343,"GUARDIAN HOME HEALTH CARE & HOSPICE, INC.","6601 OWENS DR, STE 135, OFFICE B",PLEASANTON,94588,5107428700,550002215,Open,Hospice,,,,,,,,,
2024,2026-01-16T17:15:21Z,406014346,"BAYPOINT HOME HEALTH, INC.","2515 SANTA CLARA AVE, STE 105",ALAMEDA,94501,8663927751,550003130,Open,Home Health Agency,Investor - Corporation,,3003,,,,,,
2024,2026-01-16T17:15:21Z,406014351,SUNCREST HOSPICE,3215 SKYWAY CT,FREMONT,94539,4089008838,550002410,Open,Hospice,,,,470,2961,4287983,75904086,79884047,16759006
2024,2026-01-16T17:15:21Z,406014354,SOLEO HEALTH INC.,1324 W WINTON AVE,HAYWARD,94545,310-665-1121,550003332,Open,Home Health Agency,Investor - Corporation,32,289,,,,,,
2024,2026-01-16T17:15:21Z,406014356,ESSENTIALS HOME HEALTH,"24301 SOUTHLAND DR, STE 611",HAYWARD,94545,5102395337,550003328,Open,Home Health Agency,Investor - Corporation,59,8549,,,,,,
2024,2026-01-16T17:15:21Z,406014357,LIFECARE SOLUTIONS PALLIATIVE AND HOSPICE,"39675 CEDAR BLVD, STE 240B",NEWARK,94560,5105732523,550003329,Open,Hospice,,,,,73,,1441599,1491462,53108
2024,2026-01-16T17:15:21Z,406014358,"CAREPLUS HOSPICE SERVICES, INC.",6269 SOUTHFRONT RD,LIVERMORE,94551,(925)449-2180,550003816,Open,Hospice,,,,17,89,104873,1700974,1918940,140802
2024,2026-01-16T17:15:21Z,406014361,"SEHAJ HOME HEALTH, INC.","44790 S GRIMMER BLVD, STE 206",FREMONT,94538,5105732013,550003345,Open,Home Health Agency,Investor - Corporation,0,8911,,,,,,
2024,2026-01-16T17:15:21Z,406014362,MERIDIAN HOSPICE,"46560 FREMONT BLVD, UNIT 115",FREMONT,94538,5105733866,550003347,Open,Hospice,,,,,73,,720951,878779,76772
2024,2026-01-16T17:15:21Z,406014365,NEOGEN CARE,"24301 SOUTHLAND DR, STE 401",HAYWARD,94545,510-440-1383,550003374,Open,Home Health Agency,Investor - Corporation,,28766,,,,,,
2024,2026-01-16T17:15:21Z,406014368,"LIFEGUARD HOSPICE CARE, INC.","6700 KOLL CENTER PKWY, STE 115",PLEASANTON,94566,925-226-7185,550002882,Open,Hospice,,,,1,202,11497,4444496,4336198,310886
2024,2026-01-16T17:15:21Z,406014370,"HEALTH NOW HOME HEALTHCARE, INC.",23591 FOLEY ST,HAYWARD,94545,888-808-5226,550003418,Open,Home Health Agency,,,,,,,,,
2024,2026-01-16T17:15:21Z,406014371,ONMYCARE HOME HEALTH,"39159 PASEO PADRE PKWY, STE 304",FREMONT,94538,9169780744,550003402,Open,Home Health Agency,Investor - Limited Liability Company,0,2917,,,,,,
2024,2026-01-16T17:15:21Z,406014372,KAIROS HOME CARE LLC,"4510 PERALTA BLVD, STE 7",FREMONT,94536,5103582271,550003408,Open,Home Health Agency,Investor - Limited Liability Company,0,4114,,,,,,
2024,2026-01-16T17:15:21Z,406014376,GIMAG HOME HEALTH CARE,"4047 1ST ST, STE 207",LIVERMORE,94551,9254536169,550003495,Open,Home Health Agency,Investor - Corporation,0,2336,,,,,,
2024,2026-01-16T17:15:21Z,406014377,HEALTH CONNECT NURSING SERVICES,"205 MAIN ST, STE A",PLEASANTON,94599,5104609670,550003545,Open,Home Health Agency,Investor - Corporation,,34,,,,,,
2024,2026-01-16T17:15:21Z,406014378,AVATAR HEALTH MONITORING,"3423 INVESTMENT BLVD, STE 2 & 3",HAYWARD,94545,4158122955,550002784,Open,Home Health Agency,Investor - Corporation,0,19,,,,,,
2024,2026-01-16T17:15:21Z,406014384,AMERICAN HOSPICE AND HOME HEALTH CARE SERVICES INC - HOSPICE,"7031 KOLL CENTER PKWY, STE 230",PLEASANTON,94566,9252406300,550002031,Open,Hospice,,,,1,103,1290,10103129,8115292,-204950
2024,2026-01-16T17:15:21Z,406014385,AMERICAN HOSPICE AND HOME HEALTH CARE SERVICES INC - HHA,"7031 KOLL CENTER PKWY, STE 220",PLEASANTON,94566,9252406300,550002030,Open,Home Health Agency,Investor - Corporation,86,7776,,,,,,
2024,2026-01-16T17:15:21Z,406014415,"ANODYNE HOSPICE CARE, LLC","39111 PASEO PADRE PKWY, STE 304",FREMONT,94538,9259685392,550006344,Open,Hospice,,,,,33,,709200,709200,208740
2024,2026-01-16T17:15:21Z,406014681,VITAL HOSPICE CARE LLC,"1090 LA PLAYA DR, SUITE 289",HAYWARD,94545,415-627-7833,550005990,Open,Hospice,,,,,62,,841360,963788,217397
2024,2026-01-16T17:15:21Z,406014771,ATTAIE HOSPICE CARE,"4133 MOHR AVE, STE A",PLEASANTON,94566,9254259499,550006065,Open,Hospice,,,,14,233,228300,5148271,5720259,1422813
2024,2026-01-16T17:15:21Z,406015073,"LEGACY HEALTHCARE, LLC","1070 A ST, STE 5",HAYWARD,94541,510-95209906,550007527,Open,Hospice,,,,1,62,850,1170452,1438080,278925
2024,2026-01-16T17:15:21Z,406015174,"KABAFUSION, LLC","5860 W LAS POSITAS BLVD, STE 19",PLEASANTON,94588,9253177960,550007906,Open,Home Health Agency,Investor - Corporation,,,,,,,,
2024,2026-01-16T17:15:21Z,406015189,"STRIVE HOME HEALTH, LLC","2600 KITTY HAWK RD, STE 124",LIVERMORE,94551,510-645-1167,550007435,Open,Home Health Agency,Investor - Limited Liability Company,31,7413,,,,,,
2024,2026-01-16T17:15:21Z,406015270,"HOME CONNECT HOME HEALTH, LLC","200 BROWN RD, STE 210",FREMONT,94539,(510) 403-4043,550005715,Open,Home Health Agency,Investor - Limited Liability Company,0,0,,,,,,
2024,2026-01-16T17:15:21Z,406015328,"DEVOTION HOSPICE CARE, INC.","24301 SOUTHLAND DR, SUITE 214D",HAYWARD,94545,(510) 598-6699,550007739,Open,Hospice,,,,17,102,38860,2505192,2545519,523366
2024,2026-01-16T17:15:21Z,406015550,HEALTHFLEX HOSPICE,"7677 OAKPORT ST, STE 920",OAKLAND,94621,6508252802,550004601,Open,Hospice,,,,5,293,116444,6920301,7102745,972936
2024,2026-01-16T17:15:21Z,406015599,TRIZA HOME HEALTH CARE,859 CORPORATE WAY,FREMONT,94539,5599770135,550007356,Open,Home Health Agency,Investor - Limited Liability Company,182,6829,,,,,,
2024,2026-01-16T17:15:21Z,406015608,"AT YOUR SERVICE HOME HEALTH AGENCY, INC","6300 VILLAGE PKWY, STE 200A",DUBLIN,94568,925 361 8145,550008168,Open,Home Health Agency,Investor - Corporation,0,0,,,,,,
2024,2026-01-16T17:15:21Z,406015615,SILVERLINE STAFF INC,"39510 PASEO PADRE PKWY, STE 220",FREMONT,94538,9254765350,550005182,Open,Home Health Agency,Investor - Individual,20,19788,,,,,,
2024,2026-01-16T17:15:21Z,406015640,"NATIONAL HOME HEALTH SERVICES, INC..-HAYWARD","3475 INVESTMENT BLVD, STE 203",HAYWARD,94545,415-812-2955,550001137,Open,Home Health Agency,Investor - Corporation,0,1513,,,,,,
2024,2026-01-16T17:15:21Z,406015644,AMORE HOME HEALTH,"39420 LIBERTY ST, STE 155",FREMONT,94538,4086492370,550002185,Open,Home Health Agency,Investor - Limited Liability Company,4053,11402,,,,,,
2024,2026-01-16T17:15:21Z,406015740,CHERISHAVEN HOSPICE,"2363 MARINER SQUARE DR, SYE 146",ALAMEDA,94501,5109753223,550007717,Open,Hospice,,,,0,19,,430028,501066,501066
2024,2026-01-16T17:15:21Z,406015986,ESSENTIALS HOSPICE,"24301 SOUTHLAND DR, STE 618",HAYWARD,94545,5104554540,550006115,Open,Hospice,,,,,24,,690489,690489,62358
