state,facid,npi,hcai_id,license_number,facility_name,business_name,contact_email,license_status,license_effective_date,license_expiration_date,address,city,zip,county,phone,lat,lng,category_name,category_code,data_date,exported_at,source_file
CA,980002187,1841242161,406196172,980001312,"HOME HEALTH SERVICES OF CALIFORNIA, INC.","HOME HEALTH SERVICES OF CALIFORNIA, INC",HOMEHEALTHCA@SBCGLOBAL.NET,ACTIVE,11/30/2024,11/29/2025,"611 S CATALINA ST, SUITE 318",LOS ANGELES,90005,LOS ANGELES,(213) 385-9949,34.063182,-118.2955275,HOME HEALTH AGENCY,HHA,10/18/2025,2026-01-16T17:15:14Z,D:\somacosf\outputs\hippocratic\data\derived\state\CA\all.min.json
CA,630027027,,,550009379,"DELUXE HOME HEALTH, INC.",DELUXE HOME HEALTH INC.,DELUXEHHA@GMAIL.COM,ACTIVE,03/09/2025,09/08/2025,"2140 W OLYMPIC BLVD, SUITE 532",LOS ANGELES,90006,LOS ANGELES,(747) 226-7733,34.051833,-118.2806145,HOME HEALTH AGENCY,HHA,10/18/2025,2026-01-16T17:15:14Z,D:\somacosf\outputs\hippocratic\data\derived\state\CA\all.min.json
CA,980002382,1356583983,406196492,980001492,HANA HOME CARE,"RODAN HOME HEALTH SERVICES, INC.",RODANHH10@GMAIL.COM,ACTIVE,10/01/2023,09/30/2024,"2140 W OLYMPIC BLVD, SUITE 501",LOS ANGELES,90006,LOS ANGELES,(213) 383-6333,34.051693,-118.280917,HOME HEALTH AGENCY,HHA,10/18/2025,2026-01-16T17:15:14Z,D:\somacosf\outputs\hippocratic\data\derived\state\CA\all.min.json
CA,630013713,,406197862,550002164,"PROMISE HOSPICE, INC.","PROMISE HOSPICE, INC.",PROMISEHOSPICE@YMAIL.COM,ACTIVE,12/28/2024,12/27/2026,"2140 W OLYMPIC BLVD, SUITE 326",LOS ANGELES,90006,LOS ANGELES,(310) 205-2587,34.051833,-118.2806145,HOSPICE,HOSPICE,10/18/2025,2026-01-16T17:15:14Z,D:\somacosf\outputs\hippocratic\data\derived\state\CA\all.min.json
CA,630014911,1295157394,406198190,550003365,"RAFAELLA HOSPICE, INC.","RAFAELLA HOSPICE, INC.",RAFAELLAHOSPICEINC@GMAIL.COM,ACTIVE,05/29/2025,12/15/2025,"3071 W OLYMPIC BLVD, SUITE 101",LOS ANGELES,90006,LOS ANGELES,(213) 277-1333,34.05292698,-118.302484,HOSPICE,HOSPICE,10/18/2025,2026-01-16T17:15:14Z,D:\somacosf\outputs\hippocratic\data\derived\state\CA\all.min.json
CA,980002356,,406196386,980001466,"SELECT CARE HOME HEALTH SERVICES, INC.","SELECT CARE HOME HEALTH SERVICES, INC.",SELECTCAREHHA@GMAIL.COM,ACTIVE,09/29/2025,09/28/2026,"3071 W OLYMPIC BLVD, UNIT 102",LOS ANGELES,90006,LOS ANGELES,(213) 389-3582,34.05287728,-118.3025285,HOME HEALTH AGENCY,HHA,10/18/2025,2026-01-16T17:15:14Z,D:\somacosf\outputs\hippocratic\data\derived\state\CA\all.min.json
CA,630014461,1588009088,406198218,550002796,"STARLINE HOSPICE, INC.","STARLINE HOSPICE, INC.",STARLINEHOSPICE@YAHOO.COM,ACTIVE,08/08/2024,08/07/2026,"3053 W OLYMPIC BLVD, SUITE 207A",LOS ANGELES,90006,LOS ANGELES,(213) 674-7555,34.052778,-118.30185,HOSPICE,HOSPICE,10/18/2025,2026-01-16T17:15:14Z,D:\somacosf\outputs\hippocratic\data\derived\state\CA\all.min.json
CA,630009381,1497909832,406197481,550000460,"A C HOSPICE, INC.","A C HOSPICE, INC.",SSELICO@FOREVERCARING.COM,ACTIVE,01/11/2023,01/10/2025,"3756 SANTA ROSALIA DR, SUITE 520C",LOS ANGELES,90008,LOS ANGELES,(323) 293-7072,34.008822,-118.339164,HOSPICE,HOSPICE,10/18/2025,2026-01-16T17:15:14Z,D:\somacosf\outputs\hippocratic\data\derived\state\CA\all.min.json
CA,630012728,1659702389,406198191,550002521,"EVERGREEN HOME CARE & HOSPICE, INC.","EVERGREEN HOME CARE & HOSPICE, INC.",SSELICO@FOREVERCARING.COM,ACTIVE,12/05/2023,12/04/2025,"3756 SANTA ROSALIA DR, SUITE 520B",LOS ANGELES,90008,LOS ANGELES,(323) 293-7072,34.008822,-118.339164,HOSPICE,HOSPICE,10/18/2025,2026-01-16T17:15:14Z,D:\somacosf\outputs\hippocratic\data\derived\state\CA\all.min.json
CA,630023817,,406195358,550007949,AAV HOME HEALTH INC,AAV HOME HEALTH INC,AAVHOMEHEALTH@GMAIL.COM,ACTIVE,04/14/2023,04/13/2024,"3200 WILSHIRE BLVD, SUITE 902B",LOS ANGELES,90010,LOS ANGELES,(213) 674-7386,34.061625,-118.292121,HOME HEALTH AGENCY,HHA,10/18/2025,2026-01-16T17:15:14Z,D:\somacosf\outputs\hippocratic\data\derived\state\CA\all.min.json
CA,980002225,1205808326,406196228,980001344,"ACE HOME HEALTH, INC","ACE HOME HEALTH, INC.",ACEHOME105@SBCGLOBAL.NET,ACTIVE,05/27/2025,12/14/2025,"4055 WILSHIRE BLVD, SUITE 350",LOS ANGELES,90010,LOS ANGELES,(213) 383-9678,34.061877,-118.316322,HOME HEALTH AGENCY,HHA,10/18/2025,2026-01-16T17:15:14Z,D:\somacosf\outputs\hippocratic\data\derived\state\CA\all.min.json
CA,630013092,1255637765,406197632,550001763,"ADVANCE SPECIALTY CARE, LLC","ADVANCE SPECIALTY CARE, LLC",INFO@ASCHOMEHEALTH.COM,ACTIVE,11/29/2025,11/28/2026,"3470 WILSHIRE BLVD, SUITE 600",LOS ANGELES,90010,LOS ANGELES,(213) 739-1155,34.061274,-118.299519,HOME HEALTH AGENCY,HHA,10/18/2025,2026-01-16T17:15:14Z,D:\somacosf\outputs\hippocratic\data\derived\state\CA\all.min.json
CA,630011419,1558554576,406197329,550000927,"ALTHIA HOME HEALTHCARE, INC.","ALTHIA HOME HEALTHCARE, INC.",ALTHIAHOME888@GMAIL.COM,ACTIVE,03/19/2022,03/18/2023,"3200 WILSHIRE BLVD, SUITE 311",LOS ANGELES,90010,LOS ANGELES,(213) 389-6190,34.061625,-118.292121,HOME HEALTH AGENCY,HHA,10/18/2025,2026-01-16T17:15:14Z,D:\somacosf\outputs\hippocratic\data\derived\state\CA\all.min.json
CA,630026693,,,550009234,"ANGEL TOUCH HOME HEALTH CARE, CORP.","ANGEL TOUCH HOME HEALTH CARE, CORP.",ANGELTOUCHCORP@GMAIL.COM,ACTIVE,07/03/2025,07/02/2026,"3450 WILSHIRE BLVD, SUITE 1130",LOS ANGELES,90010,LOS ANGELES,(213) 674-7710,34.061589,-118.2993705,HOME HEALTH AGENCY,HHA,10/18/2025,2026-01-16T17:15:14Z,D:\somacosf\outputs\hippocratic\data\derived\state\CA\all.min.json
CA,630015707,1851344717,406191522,980001303,ASSISTED HEALTHCARE SERVICES,"STAFF ASSISTANCE, INC.",,ACTIVE,11/29/2025,11/28/2026,"3731 WILSHIRE BLVD., SUITE 518B",LOS ANGELES,90010,LOS ANGELES,(213) 381-8316,34.062318,-118.3074795,HOME HEALTH AGENCY,HHA,10/18/2025,2026-01-16T17:15:14Z,D:\somacosf\outputs\hippocratic\data\derived\state\CA\all.min.json
CA,980002206,1386643161,406196183,980001329,ASSISTED HOME CARE,"ASSISTED HOME RECOVERY, INC.",TAULESTIA@ASSISTEDCARES.COM,ACTIVE,12/19/2024,12/18/2025,"3731 WILSHIRE BLVD, SUITE 516",LOS ANGELES,90010,LOS ANGELES,(805) 371-4980,34.062318,-118.3074795,HOME HEALTH AGENCY,HHA,10/18/2025,2026-01-16T17:15:14Z,D:\somacosf\outputs\hippocratic\data\derived\state\CA\all.min.json
CA,630015799,,406198322,980001295,ASSISTED HOSPICE CARE,"ASSISTED HOME CARE, INC.",,ACTIVE,05/01/2024,04/30/2026,"3731 WILSHIRE BLVD., SUITE 518",LOS ANGELES,90010,LOS ANGELES,(818) 830-5003,34.062318,-118.3074795,HOSPICE,HOSPICE,10/18/2025,2026-01-16T17:15:14Z,D:\somacosf\outputs\hippocratic\data\derived\state\CA\all.min.json
CA,980002292,1346429594,406196909,980001407,"CHELSEA'S HOME HEALTH CARE, INC.","CHELSEA'S HOME HEALTH CARE, INC.",CHELSEAHOMEHEALTH@GMAIL.COM,ACTIVE,06/02/2025,04/17/2026,"3580 WILSHIRE BLVD, SUITE 510",LOS ANGELES,90010,LOS ANGELES,(818) 308-3823,34.06123299,-118.302807,HOME HEALTH AGENCY,HHA,10/18/2025,2026-01-16T17:15:14Z,D:\somacosf\outputs\hippocratic\data\derived\state\CA\all.min.json
CA,980002385,1780638841,406196413,980001495,"COMPREHENSIVE HEALTH CARE, INC.","COMPREHENSIVE HEALTH CARE, INC.",COMPREHENSIVEHEALTHCARE@LIVE.COM,ACTIVE,06/26/2025,06/25/2026,"3440 WILSHIRE BLVD, SUITE 1108",LOS ANGELES,90010,LOS ANGELES,(213) 389-4876,34.06158,-118.2991905,HOME HEALTH AGENCY,HHA,10/18/2025,2026-01-16T17:15:14Z,D:\somacosf\outputs\hippocratic\data\derived\state\CA\all.min.json
CA,630013194,1295034270,406197759,550002063,"COMPREHENSIVE HOSPICE CARE, INC.","STUDIO CITY HOSPICE, INC.",COMPHOSPICE@GMAIL.COM,ACTIVE,04/08/2025,11/09/2026,"3440 WILSHIRE BLVD, SUITE 1108-A",LOS ANGELES,90010,LOS ANGELES,(818) 505-0019,34.06158,-118.2991905,HOSPICE,HOSPICE,10/18/2025,2026-01-16T17:15:14Z,D:\somacosf\outputs\hippocratic\data\derived\state\CA\all.min.json
CA,630012778,1104132216,406197517,550001504,"CROSS CARE, INC.","CROSS CARE, INC.",CCARE4055@GMAIL.COM,ACTIVE,02/11/2025,02/10/2026,"4055 WILSHIRE BLVD, SUITE 205",LOS ANGELES,90010,LOS ANGELES,(213) 384-3711,34.061877,-118.316322,HOME HEALTH AGENCY,HHA,10/18/2025,2026-01-16T17:15:14Z,D:\somacosf\outputs\hippocratic\data\derived\state\CA\all.min.json
CA,630017585,,406192093,550005164,"ELITE CARE HOME HEALTH SERVICES, INC.",ELITE CARE HOME HEALTH SERVICES INC.,ELITEHOMEHEALTHSERVICES@GMAIL.COM,ACTIVE,08/25/2025,12/06/2025,"3440 WILSHIRE BLVD, SUITE 1105",LOS ANGELES,90010,LOS ANGELES,(213) 674-7309,34.06038713,-118.2992417,HOME HEALTH AGENCY,HHA,10/18/2025,2026-01-16T17:15:14Z,D:\somacosf\outputs\hippocratic\data\derived\state\CA\all.min.json
CA,630018863,,406195918,550005143,"FORTITUDE HOSPICE, INC.","FORTITUDE HOSPICE, INC.",WECARE@FORTITUDEHOSPICE.COM,ACTIVE,12/05/2023,12/04/2025,"3700 WILSHIRE BLVD, SUITE 610",LOS ANGELES,90010,LOS ANGELES,(818) 350-1830,34.061472,-118.306818,HOSPICE,HOSPICE,10/18/2025,2026-01-16T17:15:14Z,D:\somacosf\outputs\hippocratic\data\derived\state\CA\all.min.json
CA,630020599,,406193566,550006579,"GLORIA HOSPICE, INC.","GLORIA HOSPICE, INC.",GLORIAHOSPICEINC@GMAIL.COM,ACTIVE,07/08/2025,07/07/2027,"4311 WILSHIRE BLVD, SUITE 302",LOS ANGELES,90010,LOS ANGELES,(323) 591-0092,34.06210399,-118.321858,HOSPICE,HOSPICE,10/18/2025,2026-01-16T17:15:14Z,D:\somacosf\outputs\hippocratic\data\derived\state\CA\all.min.json
CA,980002389,1033117734,406196408,980001499,"HOLY ANGEL HOME HEALTH CARE, INC.","HOLY ANGEL HOME HEALTH CARE, INC.",HOLYANGELAL@YAHOO.COM,ACTIVE,11/01/2025,10/31/2026,"3470 WILSHIRE BLVD, SUITE 641 & 642",LOS ANGELES,90010,LOS ANGELES,(213) 380-2280,34.061274,-118.299519,HOME HEALTH AGENCY,HHA,10/18/2025,2026-01-16T17:15:14Z,D:\somacosf\outputs\hippocratic\data\derived\state\CA\all.min.json
CA,630020841,,406195625,550006267,HONEST HOME HEALTH CARE SERVICES INC,HONEST HOME HEALTH CARE SERVICES INC,ANDREW.LEE@FASTRECOVERYHHC.COM,ACTIVE,04/26/2025,04/25/2026,"4221 WILSHIRE BLVD, SUITE 170-16",LOS ANGELES,90010,LOS ANGELES,(818) 646-7203,34.062201,-118.320696,HOME HEALTH AGENCY,HHA,10/18/2025,2026-01-16T17:15:14Z,D:\somacosf\outputs\hippocratic\data\derived\state\CA\all.min.json
CA,980002272,1700871233,406197056,980001387,"INTRA CARE HOME HEALTH PROVIDERS, INC.","INTRA CARE HOME HEALTH PROVIDERS, INC.",INTRACARE@INTRACAREINC.COM,ACTIVE,04/02/2025,04/01/2026,"4929 WILSHIRE BLVD, SUITE 210",LOS ANGELES,90010,LOS ANGELES,(323) 964-0884,34.062489,-118.338093,HOME HEALTH AGENCY,HHA,10/18/2025,2026-01-16T17:15:14Z,D:\somacosf\outputs\hippocratic\data\derived\state\CA\all.min.json
CA,630019417,,406194818,550005890,KAVIS HOME HEALTH INC,KAVIS HOME HEALTH INC,BEN.KARAKUNNEL@KAVISHOMEHEALTH.COM,ACTIVE,02/03/2025,12/03/2025,"3660 WILSHIRE BLVD, SUITE 311",LOS ANGELES,90010,LOS ANGELES,(844) 369-9698,34.061229,-118.304964,HOME HEALTH AGENCY,HHA,10/18/2025,2026-01-16T17:15:14Z,D:\somacosf\outputs\hippocratic\data\derived\state\CA\all.min.json
CA,630016746,1184072696,406190840,550004216,"KINDCARE HOME HEALTH, INC.","KINDCARE HOME HEALTH, INC.",KINDCAREHOMEHEALTH@YAHOO.COM,ACTIVE,03/30/2025,03/29/2026,"3200 WILSHIRE BLVD, SUITE 308",LOS ANGELES,90010,LOS ANGELES,(213) 908-5505,34.061625,-118.292121,HOME HEALTH AGENCY,HHA,10/18/2025,2026-01-16T17:15:14Z,D:\somacosf\outputs\hippocratic\data\derived\state\CA\all.min.json
CA,630011363,1578765541,406197207,550000898,"L & A HOME HEALTH CARE, INC.","L & A HOME HEALTH CARE, INC.",LANDAHOMEHEALTH@YAHOO.COM,ACTIVE,03/18/2025,03/17/2026,"3580 WILSHIRE BLVD, SUITE 1626",LOS ANGELES,90010,LOS ANGELES,(213) 739-2569,34.06123299,-118.302807,HOME HEALTH AGENCY,HHA,10/18/2025,2026-01-16T17:15:14Z,D:\somacosf\outputs\hippocratic\data\derived\state\CA\all.min.json
CA,980002435,,406196446,980001542,LA HOSPICE,"LOS ANGELES HOSPICE, INC.",PB@LAHOSPICE.COM,ACTIVE,03/31/2023,03/30/2025,"3580 WILSHIRE BLVD, SUITE 1290",LOS ANGELES,90010,LOS ANGELES,(213) 351-1030,34.061229,-118.3027995,HOSPICE,HOSPICE,10/18/2025,2026-01-16T17:15:14Z,D:\somacosf\outputs\hippocratic\data\derived\state\CA\all.min.json
CA,630022232,,,550008687,"MARY'S HOME HEALTH CARE, INC.","MARY'S HOME HEALTH CARE, INC.",MARYSHOMEHEALTHCARE@GMAIL.COM,ACTIVE,08/08/2025,08/07/2026,"4221 WILSHIRE BLVD, SUITE 460 OFFICE 14",LOS ANGELES,90010,LOS ANGELES,(747) 737-3028,34.062162,-118.320827,HOME HEALTH AGENCY,HHA,10/18/2025,2026-01-16T17:15:14Z,D:\somacosf\outputs\hippocratic\data\derived\state\CA\all.min.json
CA,980002227,1316970064,406196132,980001345,"MAXIM HEALTHCARE SERVICES, INC.","MAXIM HEALTHCARE SERVICES, INC.",LOSANGELESHC@MAXHEALTH.COM,ACTIVE,04/22/2025,04/21/2026,"3255 WILSHIRE BLVD, SUITE 700",LOS ANGELES,90010,LOS ANGELES,(213) 296-3477,34.06224401,-118.293277,HOME HEALTH AGENCY,HHA,10/18/2025,2026-01-16T17:15:14Z,D:\somacosf\outputs\hippocratic\data\derived\state\CA\all.min.json
CA,630016759,1083062590,406190855,550004238,"MEDCO HOME HEALTH CARE, INC.","MEDCO HOME HEALTH CARE, INC.",MEDCOHHI@YAHOO.COM,ACTIVE,04/21/2025,04/20/2026,"3200 WILSHIRE BLVD, SUITE 1505",LOS ANGELES,90010,LOS ANGELES,(213) 529-4301,34.061625,-118.292121,HOME HEALTH AGENCY,HHA,10/18/2025,2026-01-16T17:15:14Z,D:\somacosf\outputs\hippocratic\data\derived\state\CA\all.min.json
CA,630013254,1548550759,406197879,550002168,"MI HOSPICE AND PALLIATIVE CARE, INC.","MI HOSPICE AND PALLIATIVE CARE, INC.",MIHOSPICEPC@GMAIL.COM,ACTIVE,06/29/2020,02/10/2022,"3460 WILSHIRE BLVD, SUITE 405",LOS ANGELES,90010,LOS ANGELES,(323) 466-4400,34.06158,-118.2999375,HOSPICE,HOSPICE,10/18/2025,2026-01-16T17:15:14Z,D:\somacosf\outputs\hippocratic\data\derived\state\CA\all.min.json
CA,630027223,,,550009882,"MIVIDAZ HOME HEALTH, INC.","MIDIVAZ HOME HEALTH, INC.",MIVIDAZHOMEHEALTH@YAHOO.COM,ACTIVE,07/12/2025,01/11/2026,"4221 WILSHIRE BLVD, SUITE 170-10",LOS ANGELES,90010,LOS ANGELES,(213) 699-9559,34.062162,-118.320827,HOME HEALTH AGENCY,HHA,10/18/2025,2026-01-16T17:15:14Z,D:\somacosf\outputs\hippocratic\data\derived\state\CA\all.min.json
CA,980002235,1114927985,406196749,980001353,"OCEAN SIDE HOME HEALTH SERVICES, INC.","OCEAN SIDE HOME HEALTH SERVICES, INC.",THOMAS@OSHHS.COM,ACTIVE,11/04/2025,11/03/2026,"4322 WILSHIRE BLVD, SUITE 208",LOS ANGELES,90010,LOS ANGELES,(323) 934-5050,34.061436,-118.3224645,HOME HEALTH AGENCY,HHA,10/18/2025,2026-01-16T17:15:14Z,D:\somacosf\outputs\hippocratic\data\derived\state\CA\all.min.json
CA,980001250,1962409813,406194497,980000768,PRIME NURSING SERVICES,"TLC SKILLED HEALTH CARE PROVIDERS, INC.",TLCPNS@GMAIL.COM,ACTIVE,03/14/2025,03/13/2026,"3250 WILSHIRE BLVD, SUITE 1008",LOS ANGELES,90010,LOS ANGELES,(213) 380-9991,34.061067,-118.293255,HOME HEALTH AGENCY,HHA,10/18/2025,2026-01-16T17:15:14Z,D:\somacosf\outputs\hippocratic\data\derived\state\CA\all.min.json
CA,630012660,1780908558,406197570,550001507,"PROHEALTH HOME CARE SERVICES, INC.","PROHEALTH HOME CARE SERVICES, INC.",OPERATIONS@PROHEALTH.CA.COM,ACTIVE,02/15/2023,02/14/2024,"4221 WILSHIRE BLVD, SUITE 135",LOS ANGELES,90010,LOS ANGELES,(323) 932-0773,34.062201,-118.320696,HOME HEALTH AGENCY,HHA,10/18/2025,2026-01-16T17:15:14Z,D:\somacosf\outputs\hippocratic\data\derived\state\CA\all.min.json
CA,630021527,,406193293,550007168,"SORS HOSPICE, INC","SORS HOSPICE, INC",SORSHOSPICE@YAHOO.COM,ACTIVE,11/11/2023,11/10/2025,"3200 WILSHIRE BLVD, SUITE 306",LOS ANGELES,90010,LOS ANGELES,(213) 915-0029,34.061625,-118.292121,HOSPICE,HOSPICE,10/18/2025,2026-01-16T17:15:14Z,D:\somacosf\outputs\hippocratic\data\derived\state\CA\all.min.json
CA,980002338,1124006051,406196586,980001448,"SUN-TRIUNE HEALTHCARE, INC.","SUN-TRIUNE HEALTHCARE, INC.",SUNTRIUNEHH@GMAIL.COM,ACTIVE,10/02/2023,10/01/2024,"3055 WILSHIRE BLVD, SUITE 890",LOS ANGELES,90010,LOS ANGELES,(213) 632-1445,34.061985,-118.2878415,HOME HEALTH AGENCY,HHA,10/18/2025,2026-01-16T17:15:14Z,D:\somacosf\outputs\hippocratic\data\derived\state\CA\all.min.json
CA,980001326,1205011335,406194525,980000772,TOTAL CARE NURSING SERVICES,"AQUILA HEALTHCARE SYSTEMS, LLC",CCCEDILLOS@GMAIL.COM,ACTIVE,11/29/2023,11/28/2024,"3450 WILSHIRE BLVD, SUITE 1003",LOS ANGELES,90010,LOS ANGELES,(213) 380-1399,34.061589,-118.2993705,HOME HEALTH AGENCY,HHA,10/18/2025,2026-01-16T17:15:14Z,D:\somacosf\outputs\hippocratic\data\derived\state\CA\all.min.json
CA,630019054,,406192072,550005106,UMBRELLA HOSPICE INC,"UMBRELLA HOSPICE, INC.",PATIENTCARE@UMBRELLAHOSPICECARE.COM,ACTIVE,11/16/2023,11/15/2025,"4221 WILSHIRE BLVD, UNIT 170-14",LOS ANGELES,90010,LOS ANGELES,(213) 369-0949,34.062201,-118.320696,HOSPICE,HOSPICE,10/18/2025,2026-01-16T17:15:14Z,D:\somacosf\outputs\hippocratic\data\derived\state\CA\all.min.json
CA,630012095,,406197415,550001322,"NURSES AND ANGELS HOME HEALTH, INC.","NURSES AND ANGELS HOME HEALTH, INC.",NURSESANDANGELS@GMAIL.COM,ACTIVE,11/12/2024,11/11/2025,609 N BUNKER HILL AVE,LOS ANGELES,90012,LOS ANGELES,(213) 613-0668,34.061589,-118.244493,HOME HEALTH AGENCY,HHA,10/18/2025,2026-01-16T17:15:14Z,D:\somacosf\outputs\hippocratic\data\derived\state\CA\all.min.json
CA,630024839,,,550009005,"CARING ARMS HOME HEALTH CARE, INC.","CARING ARMS HOME HEALTH CARE, INC.",CARINGARMSHOMEHEALTCAREINC@YAHOO.COM,ACTIVE,12/15/2024,12/14/2025,"411 W 7TH ST, SUITE 619",LOS ANGELES,90014,LOS ANGELES,(424) 777-8040,34.046145,-118.254546,HOME HEALTH AGENCY,HHA,10/18/2025,2026-01-16T17:15:14Z,D:\somacosf\outputs\hippocratic\data\derived\state\CA\all.min.json
CA,630021538,,406193933,550007044,EMHOSPICE LLC,EMHOSPICE LLC,EMHOSPICECARE@GMAIL.COM,ACTIVE,10/21/2025,10/20/2027,"629 S HILL ST, SUITE 704",LOS ANGELES,90014,LOS ANGELES,(310) 290-7621,34.046829,-118.253835,HOSPICE,HOSPICE,10/18/2025,2026-01-16T17:15:14Z,D:\somacosf\outputs\hippocratic\data\derived\state\CA\all.min.json
CA,630024680,,406190203,550008943,"HIGH QUALITY HOME HEALTH, INC.","HIGH QUALITY HOME HEALTH, INC.",HIGHQUALITYHOMEHEALTHINC@YAHOO.COM,ACTIVE,12/15/2024,12/14/2025,"411 W 7TH ST, SUITE 906",LOS ANGELES,90014,LOS ANGELES,(424) 777-8008,34.046145,-118.254546,HOME HEALTH AGENCY,HHA,10/18/2025,2026-01-16T17:15:14Z,D:\somacosf\outputs\hippocratic\data\derived\state\CA\all.min.json
